Date,Country,Growth rate
2016-12-01,BR,1
2017-01-01,BR,0.97777
2017-02-01,BR,0.97415
2017-03-01,BR,0.97254
2017-04-01,BR,0.9591299999999999
2017-05-01,BR,0.95825
2017-06-01,BR,0.9204899999999999
2017-07-01,BR,0.91138
2017-08-01,BR,0.90596
2017-09-01,BR,0.90676
2017-10-01,BR,0.9098200000000001
2017-11-01,BR,0.89946
2017-12-01,BR,0.8993899999999999
2018-01-01,BR,0.93489
2018-02-01,BR,0.9410799999999999
2018-03-01,BR,0.9367
2018-04-01,BR,0.96021
2018-05-01,BR,0.9677
2018-06-01,BR,1.07247
2018-07-01,BR,1.1225399999999999
2018-08-01,BR,1.13452
2018-09-01,BR,1.14062
2018-10-01,BR,1.1547
2018-11-01,BR,1.1904299999999999
2018-12-01,BR,1.22127
2019-01-01,BR,1.22164
2019-02-01,BR,1.23868
2019-03-01,BR,1.2659200000000002
2019-04-01,BR,1.27514
2019-05-01,BR,1.28124
2019-06-01,BR,1.22155
2019-07-01,BR,1.1957
2019-08-01,BR,1.20347
2019-09-01,BR,1.21696
2019-10-01,BR,1.21494
2019-11-01,BR,1.21672
2019-12-01,BR,1.1915200000000001
2020-01-01,BR,1.20399
2020-02-01,BR,1.19461
2020-03-01,BR,1.20269
2020-04-01,BR,1.23046
2020-05-01,BR,1.23957
2020-06-01,BR,1.25325
2020-07-01,BR,1.26566
2020-08-01,BR,1.2664
2020-09-01,BR,1.2824
2020-10-01,BR,1.2883799999999999
2020-11-01,BR,1.28306
2020-12-01,BR,1.30071
2021-01-01,BR,1.278530065
2021-02-01,BR,1.282875716
2021-03-01,BR,1.25459016
2021-04-01,BR,1.2070373559999998
2021-05-01,BR,1.20551729
2021-06-01,BR,1.207360901
2021-07-01,BR,1.191012341
2021-08-01,BR,1.192880749
2021-09-01,BR,1.168073155
2021-10-01,BR,1.154843527
2021-11-01,BR,1.136024182
2021-12-01,BR,1.109223284
2016-12-01,CA,1
2017-01-01,CA,0.98685
2017-02-01,CA,0.99331
2017-03-01,CA,0.98456
2017-04-01,CA,0.9849100000000001
2017-05-01,CA,0.9830399999999999
2017-06-01,CA,0.9746100000000001
2017-07-01,CA,0.97809
2017-08-01,CA,0.9775
2017-09-01,CA,0.98015
2017-10-01,CA,0.96859
2017-11-01,CA,0.96949
2017-12-01,CA,0.97608
2018-01-01,CA,1.00186
2018-02-01,CA,0.9883200000000001
2018-03-01,CA,1.00124
2018-04-01,CA,1.01264
2018-05-01,CA,1.02316
2018-06-01,CA,1.04864
2018-07-01,CA,1.0527799999999998
2018-08-01,CA,1.0596
2018-09-01,CA,1.06882
2018-10-01,CA,1.1025200000000002
2018-11-01,CA,1.11224
2018-12-01,CA,1.1018
2019-01-01,CA,1.10091
2019-02-01,CA,1.13352
2019-03-01,CA,1.14798
2019-04-01,CA,1.13635
2019-05-01,CA,1.16046
2019-06-01,CA,1.1575
2019-07-01,CA,1.1611
2019-08-01,CA,1.17907
2019-09-01,CA,1.18723
2019-10-01,CA,1.18195
2019-11-01,CA,1.1913200000000002
2019-12-01,CA,1.2195799999999999
2020-01-01,CA,1.2328299999999999
2020-02-01,CA,1.22438
2020-03-01,CA,1.2319200000000001
2020-04-01,CA,1.29777
2020-05-01,CA,1.3308799999999998
2020-06-01,CA,1.35491
2020-07-01,CA,1.36756
2020-08-01,CA,1.37034
2020-09-01,CA,1.3826100000000001
2020-10-01,CA,1.3832
2020-11-01,CA,1.3879
2020-12-01,CA,1.4008
2021-01-01,CA,1.4089857330000002
2021-02-01,CA,1.4084044269999998
2021-03-01,CA,1.3979998219999998
2021-04-01,CA,1.33065455
2021-05-01,CA,1.258296714
2021-06-01,CA,1.2248498509999999
2021-07-01,CA,1.2185481040000001
2021-08-01,CA,1.208471565
2021-09-01,CA,1.205305515
2021-10-01,CA,1.211626362
2021-11-01,CA,1.206989826
2021-12-01,CA,1.181141431
2016-12-01,CN,1
2017-01-01,CN,1.0231
2017-02-01,CN,1.0142200000000001
2017-03-01,CN,1.02301
2017-04-01,CN,1.02209
2017-05-01,CN,1.02959
2017-06-01,CN,1.05165
2017-07-01,CN,1.05013
2017-08-01,CN,1.0669
2017-09-01,CN,1.06806
2017-10-01,CN,1.0806200000000001
2017-11-01,CN,1.08317
2017-12-01,CN,1.0840299999999998
2018-01-01,CN,1.07315
2018-02-01,CN,1.09141
2018-03-01,CN,1.08041
2018-04-01,CN,1.10225
2018-05-01,CN,1.1019700000000001
2018-06-01,CN,1.10216
2018-07-01,CN,1.12442
2018-08-01,CN,1.12581
2018-09-01,CN,1.14517
2018-10-01,CN,1.1549
2018-11-01,CN,1.17692
2018-12-01,CN,1.19935
2019-01-01,CN,1.20623
2019-02-01,CN,1.21491
2019-03-01,CN,1.23585
2019-04-01,CN,1.20909
2019-05-01,CN,1.2097799999999999
2019-06-01,CN,1.1818600000000001
2019-07-01,CN,1.17062
2019-08-01,CN,1.14297
2019-09-01,CN,1.1294899999999999
2019-10-01,CN,1.11368
2019-11-01,CN,1.08638
2019-12-01,CN,1.07661
2020-01-01,CN,1.06039
2020-02-01,CN,1.0822100000000001
2020-03-01,CN,1.09955
2020-04-01,CN,1.1391200000000001
2020-05-01,CN,1.1485
2020-06-01,CN,1.18798
2020-07-01,CN,1.1997799999999998
2020-08-01,CN,1.23862
2020-09-01,CN,1.254
2020-10-01,CN,1.26629
2020-11-01,CN,1.27809
2020-12-01,CN,1.2773299999999999
2021-01-01,CN,1.285751737
2021-02-01,CN,1.244571956
2021-03-01,CN,1.2079748259999998
2021-04-01,CN,1.173306334
2021-05-01,CN,1.1708869290000001
2021-06-01,CN,1.141903139
2021-07-01,CN,1.116712997
2021-08-01,CN,1.096989902
2021-09-01,CN,1.074653865
2021-10-01,CN,1.055653441
2021-11-01,CN,1.075050115
2021-12-01,CN,1.076877475
2016-12-01,IN,1
2017-01-01,IN,0.97651
2017-02-01,IN,0.95565
2017-03-01,IN,0.93225
2017-04-01,IN,0.91248
2017-05-01,IN,0.8987700000000001
2017-06-01,IN,0.8849100000000001
2017-07-01,IN,0.87155
2017-08-01,IN,0.86387
2017-09-01,IN,0.85915
2017-10-01,IN,0.85514
2017-11-01,IN,0.84606
2017-12-01,IN,0.84141
2018-01-01,IN,0.86034
2018-02-01,IN,0.87616
2018-03-01,IN,0.8996
2018-04-01,IN,0.92119
2018-05-01,IN,0.9441799999999999
2018-06-01,IN,0.97077
2018-07-01,IN,0.98939
2018-08-01,IN,1.00052
2018-09-01,IN,1.0158200000000002
2018-10-01,IN,1.02726
2018-11-01,IN,1.04961
2018-12-01,IN,1.067
2019-01-01,IN,1.09083
2019-02-01,IN,1.114
2019-03-01,IN,1.1312799999999998
2019-04-01,IN,1.1407399999999999
2019-05-01,IN,1.15383
2019-06-01,IN,1.15793
2019-07-01,IN,1.17445
2019-08-01,IN,1.19513
2019-09-01,IN,1.2122700000000002
2019-10-01,IN,1.22871
