Year,Country,% AI talent concentration
2016,IN,0.024900000000000002
2017,IN,0.0298
2018,IN,0.0355
2019,IN,0.044800000000000006
2020,IN,0.0632
2021,IN,0.09570000000000001
2016,IL,0.0161
2017,IL,0.018500000000000003
2018,IL,0.0215
2019,IL,0.0262
2020,IL,0.032799999999999996
2021,IL,0.041100000000000005
2016,GR,0.0085
2017,GR,0.0088
2018,GR,0.0095
2019,GR,0.010700000000000001
2020,GR,0.0134
2021,GR,0.0165
2016,DE,0.0072
2017,DE,0.008
2018,DE,0.0096
2019,DE,0.012199999999999999
2020,DE,0.0167
2021,DE,0.023799999999999998
2016,TR,0.006999999999999999
2017,TR,0.008100000000000001
2018,TR,0.0097
2019,TR,0.0118
2020,TR,0.015
2021,TR,0.018500000000000003
2016,FI,0.0066
2017,FI,0.0074
2018,FI,0.0087
2019,FI,0.0102
2020,FI,0.0125
2021,FI,0.015700000000000002
2016,SA,0.0059
2017,SA,0.0062
2018,SA,0.0068000000000000005
2019,SA,0.008
2020,SA,0.010700000000000001
2021,SA,0.014199999999999999
2016,CH,0.0055000000000000005
2017,CH,0.0062
2018,CH,0.0072
2019,CH,0.0087
2020,CH,0.011200000000000002
2021,CH,0.0147
2016,IE,0.0040999999999999995
2017,IE,0.0049
2018,IE,0.006
2019,IE,0.0077
2020,IE,0.0101
2021,IE,0.013600000000000001
2016,ALL,0.0038
2017,ALL,0.0045000000000000005
2018,ALL,0.0055000000000000005
2019,ALL,0.0069
2020,ALL,0.0096
2021,ALL,0.0141
