Date,Country,Growth rate
2016-12-01,AR,1
2017-01-01,AR,1.02899
2017-02-01,AR,1.0011
2017-03-01,AR,0.9795299999999999
2017-04-01,AR,0.98772
2017-05-01,AR,0.9787799999999999
2017-06-01,AR,0.9962799999999999
2017-07-01,AR,1.00222
2017-08-01,AR,1.01302
2017-09-01,AR,1.00737
2017-10-01,AR,1.01924
2017-11-01,AR,1.0497
2017-12-01,AR,1.04423
2018-01-01,AR,0.9892299999999999
2018-02-01,AR,0.99813
2018-03-01,AR,1.03736
2018-04-01,AR,1.0292
2018-05-01,AR,1.0499
2018-06-01,AR,1.04282
2018-07-01,AR,1.0585
2018-08-01,AR,1.0659299999999998
2018-09-01,AR,1.1025200000000002
2018-10-01,AR,1.0967799999999999
2018-11-01,AR,1.09188
2018-12-01,AR,1.1126
2019-01-01,AR,1.15977
2019-02-01,AR,1.23716
2019-03-01,AR,1.19546
2019-04-01,AR,1.22396
2019-05-01,AR,1.22357
2019-06-01,AR,1.23786
2019-07-01,AR,1.24025
2019-08-01,AR,1.22674
2019-09-01,AR,1.20889
2019-10-01,AR,1.2290299999999998
2019-11-01,AR,1.19062
2019-12-01,AR,1.19103
2020-01-01,AR,1.18686
2020-02-01,AR,1.1333600000000001
2020-03-01,AR,1.23843
2020-04-01,AR,1.2930700000000002
2020-05-01,AR,1.34629
2020-06-01,AR,1.34304
2020-07-01,AR,1.34099
2020-08-01,AR,1.36639
2020-09-01,AR,1.37304
2020-10-01,AR,1.37132
2020-11-01,AR,1.44808
2020-12-01,AR,1.45371
2021-01-01,AR,1.466461286
2021-02-01,AR,1.4982717819999998
2021-03-01,AR,1.421233033
2021-04-01,AR,1.3199046
2021-05-01,AR,1.245826932
2021-06-01,AR,1.233256443
2021-07-01,AR,1.2196378909999999
2021-08-01,AR,1.201172065
2021-09-01,AR,1.174138232
2021-10-01,AR,1.138703604
2021-11-01,AR,1.054630275
2021-12-01,AR,1.039039292
2016-12-01,AU,1
2017-01-01,AU,0.98718
2017-02-01,AU,0.9762299999999999
