Year,Country,% AI talent concentration
2016,IL,0.0699
2017,IL,0.0771
2018,IL,0.0862
2019,IL,0.09880000000000001
2020,IL,0.1226
2021,IL,0.1606
2016,KR,0.0661
2017,KR,0.0774
2018,KR,0.09029999999999999
2019,KR,0.1073
2020,KR,0.1368
2021,KR,0.17329999999999998
2016,GR,0.06280000000000001
2017,GR,0.0637
2018,GR,0.066
2019,GR,0.0707
2020,GR,0.0852
2021,GR,0.1017
2016,DE,0.061200000000000004
2017,DE,0.0697
2018,DE,0.08349999999999999
2019,DE,0.1013
2020,DE,0.1376
2021,DE,0.1929
2016,JP,0.0604
2017,JP,0.0677
2018,JP,0.0781
2019,JP,0.0906
2020,JP,0.1104
2021,JP,0.139
2016,SI,0.056600000000000004
2017,SI,0.0552
2018,SI,0.0557
2019,SI,0.0581
2020,SI,0.0711
2021,SI,0.0819
2016,IN,0.0526
2017,IN,0.0621
2018,IN,0.0702
2019,IN,0.0797
2020,IN,0.1066
2021,IN,0.1464
2016,PL,0.0512
2017,PL,0.056299999999999996
2018,PL,0.0639
2019,PL,0.0721
2020,PL,0.0814
2021,PL,0.0947
2016,LU,0.0492
2017,LU,0.052000000000000005
2018,LU,0.056299999999999996
2019,LU,0.06509999999999999
2020,LU,0.0776
2021,LU,0.0993
2016,CN,0.0443
2017,CN,0.048
2018,CN,0.0525
2019,CN,0.0579
2020,CN,0.0676
2021,CN,0.0795
2016,TR,0.044199999999999996
2017,TR,0.049699999999999994
2018,TR,0.0565
2019,TR,0.0639
2020,TR,0.07519999999999999
2021,TR,0.09210000000000002
2016,CZ,0.044199999999999996
2017,CZ,0.0473
2018,CZ,0.0504
2019,CZ,0.056299999999999996
2020,CZ,0.0647
2021,CZ,0.0765
2016,CH,0.0431
2017,CH,0.0493
2018,CH,0.0576
2019,CH,0.06849999999999999
2020,CH,0.0898
2021,CH,0.1222
2016,AT,0.0403
2017,AT,0.0407
2018,AT,0.042699999999999995
2019,AT,0.04769999999999999
2020,AT,0.06860000000000001
2021,AT,0.0977
2016,NO,0.0353
2017,NO,0.0404
2018,NO,0.047
2019,NO,0.055099999999999996
2020,NO,0.0719
2021,NO,0.1043
2016,SK,0.0347
2017,SK,0.0346
2018,SK,0.0349
2019,SK,0.0366
2020,SK,0.0417
2021,SK,0.050199999999999995
2016,SE,0.0329
2017,SE,0.0361
2018,SE,0.041100000000000005
2019,SE,0.047400000000000005
2020,SE,0.0603
2021,SE,0.0858
2016,FI,0.0323
2017,FI,0.0352
2018,FI,0.04019999999999999
2019,FI,0.0472
2020,FI,0.0575
2021,FI,0.0784
2016,IT,0.031400000000000004
2017,IT,0.0336
2018,IT,0.0371
2019,IT,0.04190000000000001
2020,IT,0.052300000000000006
2021,IT,0.067
2016,FR,0.0308
2017,FR,0.0332
2018,FR,0.036699999999999997
2019,FR,0.0418
2020,FR,0.0529
2021,FR,0.0702
2016,HU,0.0305
2017,HU,0.0318
2018,HU,0.0333
2019,HU,0.0359
2020,HU,0.0453
2021,HU,0.061500000000000006
2016,EE,0.0305
2017,EE,0.0313
2018,EE,0.033
2019,EE,0.0361
2020,EE,0.0455
2021,EE,0.0608
2016,IE,0.0274
2017,IE,0.0321
2018,IE,0.0374
2019,IE,0.045700000000000005
2020,IE,0.0596
2021,IE,0.0801
2016,LV,0.0255
2017,LV,0.0246
2018,LV,0.024300000000000002
2019,LV,0.0253
2020,LV,0.0269
2021,LV,0.0279
2016,IS,0.0241
2017,IS,0.0253
2018,IS,0.0274
2019,IS,0.028399999999999998
2020,IS,0.0334
2021,IS,0.0463
2016,BE,0.0229
2017,BE,0.0248
2018,BE,0.027200000000000002
2019,BE,0.0315
2020,BE,0.040999999999999995
2021,BE,0.054299999999999994
2016,PT,0.0225
2017,PT,0.0236
2018,PT,0.0252
2019,PT,0.0274
2020,PT,0.0326
2021,PT,0.042
2016,ES,0.0223
2017,ES,0.023799999999999998
2018,ES,0.0263
2019,ES,0.0301
2020,ES,0.0368
2021,ES,0.0475
2016,GB,0.020099999999999996
2017,GB,0.022400000000000003
2018,GB,0.025699999999999997
2019,GB,0.030299999999999997
2020,GB,0.0391
2021,GB,0.0527
2016,CA,0.0171
2017,CA,0.0199
2018,CA,0.0236
2019,CA,0.029300000000000003
2020,CA,0.041299999999999996
2021,CA,0.06849999999999999
2016,AU,0.015700000000000002
