Year,Country,% AI talent concentration
2016,IN,0.014499999999999999
2017,IN,0.0177
2018,IN,0.0225
2019,IN,0.0294
2020,IN,0.0387
2021,IN,0.053200000000000004
2016,IL,0.0139
2017,IL,0.016200000000000003
2018,IL,0.020099999999999996
2019,IL,0.0252
2020,IL,0.030699999999999998
2021,IL,0.0369
2016,SI,0.0111
2017,SI,0.011699999999999999
2018,SI,0.011899999999999999
2019,SI,0.012
2020,SI,0.0131
2021,SI,0.013500000000000002
2016,JP,0.009300000000000001
2017,JP,0.010700000000000001
2018,JP,0.013000000000000001
2019,JP,0.0167
2020,JP,0.020099999999999996
2021,JP,0.0231
2016,KR,0.0089
2017,KR,0.011899999999999999
2018,KR,0.0161
2019,KR,0.0209
2020,KR,0.0271
2021,KR,0.033
2016,IS,0.0088
2017,IS,0.0098
2018,IS,0.0108
2019,IS,0.0137
2020,IS,0.0149
2021,IS,0.0173
2016,EE,0.0083
2017,EE,0.0101
2018,EE,0.011899999999999999
2019,EE,0.0147
2020,EE,0.0177
2021,EE,0.02
2016,CH,0.0075
2017,CH,0.009300000000000001
2018,CH,0.011699999999999999
2019,CH,0.0144
2020,CH,0.0183
2021,CH,0.0225
2016,CN,0.0072
2017,CN,0.008
2018,CN,0.0097
2019,CN,0.0118
2020,CN,0.0144
2021,CN,0.0177
2016,DE,0.0067
2017,DE,0.0078000000000000005
2018,DE,0.01
2019,DE,0.0134
2020,DE,0.0161
2021,DE,0.0187
2016,GR,0.0058
2017,GR,0.0066
2018,GR,0.008100000000000001
2019,GR,0.0105
2020,GR,0.0125
2021,GR,0.0158
2016,TR,0.0058
2017,TR,0.0068000000000000005
2018,TR,0.009000000000000001
2019,TR,0.011899999999999999
2020,TR,0.0149
2021,TR,0.016
2016,HU,0.0055000000000000005
2017,HU,0.0073
2018,HU,0.009000000000000001
2019,HU,0.0121
2020,HU,0.0144
2021,HU,0.0161
2016,SE,0.0053
2017,SE,0.0069
2018,SE,0.0091
2019,SE,0.0106
2020,SE,0.0134
2021,SE,0.0155
2016,GB,0.0052
2017,GB,0.0066
2018,GB,0.0087
2019,GB,0.0113
2020,GB,0.014499999999999999
2021,GB,0.018500000000000003
2016,IE,0.0052
2017,IE,0.0066
2018,IE,0.0095
2019,IE,0.0125
2020,IE,0.0161
2021,IE,0.0199
2016,CA,0.004699999999999999
2017,CA,0.0062
2018,CA,0.0085
2019,CA,0.0121
2020,CA,0.0165
2021,CA,0.022799999999999997
2016,FR,0.0045000000000000005
2017,FR,0.005600000000000001
2018,FR,0.0072
2019,FR,0.009000000000000001
2020,FR,0.0115
2021,FR,0.0147
2016,US,0.0044
2017,US,0.005600000000000001
2018,US,0.0073
2019,US,0.0097
2020,US,0.0127
2021,US,0.0163
2016,CZ,0.0043
2017,CZ,0.0053
2018,CZ,0.0062
2019,CZ,0.0076
2020,CZ,0.009300000000000001
2021,CZ,0.0108
2016,ES,0.0043
2017,ES,0.0051
2018,ES,0.006500000000000001
2019,ES,0.0084
2020,ES,0.0102
2021,ES,0.011899999999999999
2016,NO,0.0042
2017,NO,0.0051
2018,NO,0.0072
2019,NO,0.0101
2020,NO,0.0124
2021,NO,0.0159
2016,NL,0.0042
2017,NL,0.0053
2018,NL,0.0072
2019,NL,0.0097
2020,NL,0.0125
2021,NL,0.015600000000000001
2016,PL,0.0040999999999999995
2017,PL,0.0049
2018,PL,0.006500000000000001
2019,PL,0.0087
2020,PL,0.0108
2021,PL,0.0143
2016,DK,0.0040999999999999995
2017,DK,0.0054
2018,DK,0.0069
2019,DK,0.0091
2020,DK,0.011000000000000001
2021,DK,0.0127
2016,FI,0.0039000000000000003
2017,FI,0.0051
2018,FI,0.0075
2019,FI,0.009300000000000001
2020,FI,0.011200000000000002
2021,FI,0.012199999999999999
2016,AU,0.0038
2017,AU,0.0049
2018,AU,0.0067
2019,AU,0.0092
2020,AU,0.012
2021,AU,0.0163
2016,BE,0.0037
2017,BE,0.0045000000000000005
2018,BE,0.0058
2019,BE,0.0072
2020,BE,0.0088
2021,BE,0.0102
2016,PT,0.0037
2017,PT,0.0046
2018,PT,0.0055000000000000005
2019,PT,0.0069
2020,PT,0.0087
2021,PT,0.011200000000000002
2016,SK,0.0036
2017,SK,0.0046
2018,SK,0.0058
2019,SK,0.0072
2020,SK,0.0091
2021,SK,0.0104
2016,IT,0.0034000000000000002
2017,IT,0.0040999999999999995
2018,IT,0.0053
2019,IT,0.0069
2020,IT,0.008199999999999999
2021,IT,0.009399999999999999
2016,LT,0.0033
2017,LT,0.0042
2018,LT,0.0063
2019,LT,0.0085
2020,LT,0.012199999999999999
2021,LT,0.0139
2016,AT,0.0032
2017,AT,0.004
2018,AT,0.0048
2019,AT,0.0062
2020,AT,0.0075
2021,AT,0.0088
2016,LV,0.0029
2017,LV,0.0046
2018,LV,0.005600000000000001
2019,LV,0.0075
2020,LV,0.0102
2021,LV,0.0105
2016,LU,0.0028000000000000004
2017,LU,0.0033
2018,LU,0.0043
2019,LU,0.0051
2020,LU,0.0060999999999999995
2021,LU,0.0066
2016,NZ,0.0025
2017,NZ,0.0033
2018,NZ,0.0049
2019,NZ,0.0063
2020,NZ,0.008
2021,NZ,0.0079
2016,ZA,0.0023
2017,ZA,0.003
2018,ZA,0.0046
2019,ZA,0.0067
2020,ZA,0.009399999999999999
2021,ZA,0.012
2016,CL,0.0022
2017,CL,0.0026
2018,CL,0.0034999999999999996
2019,CL,0.0049
2020,CL,0.0060999999999999995
2021,CL,0.0077
2016,BR,0.0021
2017,BR,0.0028000000000000004
2018,BR,0.0042
2019,BR,0.005699999999999999
2020,BR,0.0075
2021,BR,0.0109
2016,MX,0.0017000000000000001
2017,MX,0.002
2018,MX,0.0028000000000000004
2019,MX,0.0038
2020,MX,0.0051
2021,MX,0.0066
2016,CO,0.0013
2017,CO,0.0017000000000000001
2018,CO,0.0027
2019,CO,0.0042
2020,CO,0.0064
2021,CO,0.0091
