Year,Country,% AI talent concentration
2016,IL,0.0438
2017,IL,0.0508
2018,IL,0.0593
2019,IL,0.07200000000000001
2020,IL,0.0916
2021,IL,0.1153
2016,IN,0.0387
2017,IN,0.044800000000000006
2018,IN,0.0537
2019,IN,0.0665
2020,IN,0.0859
2021,IN,0.11410000000000001
2016,KR,0.0248
2017,KR,0.0292
2018,KR,0.0351
2019,KR,0.04190000000000001
2020,KR,0.051100000000000007
2021,KR,0.0567
2016,CN,0.0208
2017,CN,0.0233
2018,CN,0.0273
2019,CN,0.031400000000000004
2020,CN,0.0361
2021,CN,0.0412
2016,CH,0.0189
2017,CH,0.0203
2018,CH,0.0236
2019,CH,0.0274
2020,CH,0.0278
2021,CH,0.0313
2016,FI,0.0177
2017,FI,0.0191
2018,FI,0.023
2019,FI,0.0277
2020,FI,0.032799999999999996
2021,FI,0.0374
2016,GR,0.0175
2017,GR,0.0192
2018,GR,0.023
2019,GR,0.0276
2020,GR,0.0355
2021,GR,0.042699999999999995
2016,DE,0.0166
2017,DE,0.018799999999999997
2018,DE,0.0218
2019,DE,0.0271
2020,DE,0.0326
2021,DE,0.038900000000000004
2016,JP,0.0166
2017,JP,0.0189
2018,JP,0.0233
2019,JP,0.0275
2020,JP,0.0322
2021,JP,0.037200000000000004
2016,NL,0.0141
2017,NL,0.0161
2018,NL,0.0195
2019,NL,0.0231
2020,NL,0.0271
2021,NL,0.0331
2016,CA,0.0141
2017,CA,0.0168
2018,CA,0.0209
2019,CA,0.0263
2020,CA,0.0333
2021,CA,0.0421
2016,US,0.0134
2017,US,0.0159
2018,US,0.0191
2019,US,0.023399999999999997
2020,US,0.0292
2021,US,0.0364
2016,FR,0.0124
2017,FR,0.0138
2018,FR,0.0159
2019,FR,0.019
2020,FR,0.022799999999999997
2021,FR,0.0273
2016,IE,0.012199999999999999
2017,IE,0.0139
2018,IE,0.0172
2019,IE,0.022099999999999998
2020,IE,0.026699999999999998
2021,IE,0.029500000000000002
2016,TR,0.012199999999999999
2017,TR,0.0144
2018,TR,0.019799999999999998
2019,TR,0.0265
2020,TR,0.0354
2021,TR,0.043899999999999995
2016,SE,0.011899999999999999
2017,SE,0.0129
2018,SE,0.015300000000000001
2019,SE,0.0176
2020,SE,0.0199
2021,SE,0.0218
2016,AT,0.0116
2017,AT,0.0126
2018,AT,0.0155
2019,AT,0.018500000000000003
2020,AT,0.024
2021,AT,0.0308
2016,NO,0.0115
2017,NO,0.014199999999999999
2018,NO,0.0172
2019,NO,0.0223
2020,NO,0.0263
2021,NO,0.0317
2016,CZ,0.0113
2017,CZ,0.0128
2018,CZ,0.015700000000000002
2019,CZ,0.0204
2020,CZ,0.026000000000000002
2021,CZ,0.030299999999999997
2016,SI,0.011000000000000001
2017,SI,0.0104
2018,SI,0.0126
2019,SI,0.013300000000000001
2020,SI,0.0151
2021,SI,0.0166
2016,BE,0.0108
2017,BE,0.0115
2018,BE,0.0129
2019,BE,0.015700000000000002
2020,BE,0.0179
2021,BE,0.0191
2016,PL,0.0088
