Year,Country,% AI talent concentration
2016,IL,0.0332
2017,IL,0.0362
2018,IL,0.04
2019,IL,0.0461
2020,IL,0.0554
2021,IL,0.0692
2016,JP,0.0138
2017,JP,0.016399999999999998
2018,JP,0.0206
2019,JP,0.0256
2020,JP,0.0319
2021,JP,0.0394
2016,DE,0.0116
2017,DE,0.0129
2018,DE,0.0155
2019,DE,0.019299999999999998
2020,DE,0.024399999999999998
2021,DE,0.0332
2016,KR,0.0115
2017,KR,0.013300000000000001
2018,KR,0.0154
2019,KR,0.0189
2020,KR,0.0235
2021,KR,0.028399999999999998
2016,LU,0.008100000000000001
2017,LU,0.008199999999999999
2018,LU,0.0086
2019,LU,0.0106
2020,LU,0.0125
2021,LU,0.013600000000000001
2016,IN,0.0077
2017,IN,0.009300000000000001
2018,IN,0.011399999999999999
2019,IN,0.0147
2020,IN,0.020099999999999996
2021,IN,0.0292
2016,TR,0.0072
2017,TR,0.0083
2018,TR,0.0104
2019,TR,0.0132
2020,TR,0.0173
2021,TR,0.0233
2016,SE,0.0070999999999999995
2017,SE,0.0083
2018,SE,0.0102
2019,SE,0.0125
2020,SE,0.015600000000000001
2021,SE,0.0208
2016,SI,0.006500000000000001
2017,SI,0.0069
2018,SI,0.0079
2019,SI,0.0083
2020,SI,0.0095
2021,SI,0.0108
2016,CH,0.0064
2017,CH,0.0073
2018,CH,0.0086
2019,CH,0.0104
2020,CH,0.013600000000000001
2021,CH,0.0173
2016,GR,0.005699999999999999
2017,GR,0.006
2018,GR,0.0070999999999999995
2019,GR,0.0083
2020,GR,0.0105
2021,GR,0.0125
2016,FI,0.005600000000000001
2017,FI,0.0064
2018,FI,0.0083
2019,FI,0.0104
2020,FI,0.0132
2021,FI,0.0169
2016,IS,0.0055000000000000005
2017,IS,0.0059
2018,IS,0.0085
2019,IS,0.009300000000000001
2020,IS,0.011000000000000001
2021,IS,0.013300000000000001
2016,AT,0.0054
2017,AT,0.0059
2018,AT,0.0068000000000000005
2019,AT,0.0077
2020,AT,0.0106
2021,AT,0.014199999999999999
2016,US,0.005
2017,US,0.005699999999999999
2018,US,0.0067
2019,US,0.008100000000000001
2020,US,0.0101
2021,US,0.0125
2016,BE,0.005
2017,BE,0.0052
2018,BE,0.0054
2019,BE,0.0062
2020,BE,0.0069
2021,BE,0.0074
2016,CA,0.0049
2017,CA,0.0055000000000000005
2018,CA,0.0067
2019,CA,0.0084
2020,CA,0.0108
2021,CA,0.014499999999999999
2016,IE,0.0048
2017,IE,0.0055000000000000005
2018,IE,0.0068000000000000005
2019,IE,0.0086
2020,IE,0.0105
2021,IE,0.0116
2016,HU,0.0048
2017,HU,0.0055000000000000005
2018,HU,0.0066
2019,HU,0.008100000000000001
2020,HU,0.0095
2021,HU,0.0113
2016,FR,0.004699999999999999
2017,FR,0.0051
2018,FR,0.0058
