Year,Country,% AI talent concentration
2016,IN,0.0509
2017,IN,0.0617
2018,IN,0.0756
2019,IN,0.0965
2020,IN,0.1311
2021,IN,0.2024
2016,CN,0.0455
2017,CN,0.0535
2018,CN,0.063
2019,CN,0.0728
2020,CN,0.0849
2021,CN,0.0999
2016,GR,0.0444
2017,GR,0.0471
2018,GR,0.0536
2019,GR,0.062
2020,GR,0.0726
2021,GR,0.0806
2016,KR,0.0435
2017,KR,0.0524
2018,KR,0.0635
2019,KR,0.0762
2020,KR,0.0955
2021,KR,0.1174
2016,JP,0.0406
2017,JP,0.0481
2018,JP,0.0599
2019,JP,0.0739
2020,JP,0.09029999999999999
2021,JP,0.1103
2016,CH,0.0406
2017,CH,0.0466
2018,CH,0.0554
2019,CH,0.0663
2020,CH,0.08070000000000001
2021,CH,0.0992
2016,IL,0.04
2017,IL,0.047
2018,IL,0.055999999999999994
2019,IL,0.0682
2020,IL,0.0839
2021,IL,0.09849999999999999
2016,DE,0.0285
2017,DE,0.0325
2018,DE,0.0391
2019,DE,0.0479
2020,DE,0.0584
2021,DE,0.0711
2016,AT,0.027200000000000002
2017,AT,0.0281
2018,AT,0.0319
2019,AT,0.0361
2020,AT,0.043
2021,AT,0.049100000000000005
2016,CA,0.0256
2017,CA,0.0308
2018,CA,0.0378
2019,CA,0.0466
2020,CA,0.0572
2021,CA,0.0703
2016,TR,0.023399999999999997
2017,TR,0.0281
2018,TR,0.0365
2019,TR,0.0481
2020,TR,0.061399999999999996
2021,TR,0.071
2016,EE,0.0227
2017,EE,0.0268
2018,EE,0.033
2019,EE,0.039599999999999996
2020,EE,0.0508
2021,EE,0.06269999999999999
2016,NO,0.0226
2017,NO,0.0287
2018,NO,0.0371
2019,NO,0.046799999999999994
2020,NO,0.058600000000000006
2021,NO,0.0768
2016,PT,0.022000000000000002
2017,PT,0.024399999999999998
2018,PT,0.0288
2019,PT,0.034
2020,PT,0.0391
2021,PT,0.0461
2016,DK,0.0218
2017,DK,0.0265
2018,DK,0.033
2019,DK,0.041100000000000005
2020,DK,0.052300000000000006
2021,DK,0.0704
2016,LU,0.0217
2017,LU,0.025099999999999997
2018,LU,0.029900000000000003
2019,LU,0.0356
2020,LU,0.0429
2021,LU,0.0507
2016,FI,0.021400000000000002
2017,FI,0.0258
2018,FI,0.032
2019,FI,0.039900000000000005
2020,FI,0.04769999999999999
2021,FI,0.0565
2016,IS,0.0207
2017,IS,0.023799999999999998
2018,IS,0.0254
2019,IS,0.030899999999999997
2020,IS,0.0364
2021,IS,0.0362
2016,IE,0.0203
2017,IE,0.024300000000000002
2018,IE,0.0311
2019,IE,0.0392
2020,IE,0.0484
2021,IE,0.057699999999999994
2016,FR,0.0199
2017,FR,0.023700000000000002
2018,FR,0.0296
2019,FR,0.0373
2020,FR,0.0458
2021,FR,0.057800000000000004
2016,CZ,0.019299999999999998
2017,CZ,0.0216
2018,CZ,0.0248
2019,CZ,0.028300000000000002
2020,CZ,0.0336
2021,CZ,0.0408
2016,IT,0.018500000000000003
2017,IT,0.021400000000000002
2018,IT,0.0258
2019,IT,0.0315
2020,IT,0.0379
2021,IT,0.044199999999999996
2016,BE,0.0174
2017,BE,0.0196
2018,BE,0.0232
2019,BE,0.0282
2020,BE,0.0342
2021,BE,0.0404
2016,HU,0.0163
2017,HU,0.018799999999999997
2018,HU,0.0216
2019,HU,0.0256
2020,HU,0.030600000000000002
2021,HU,0.035
2016,NL,0.0161
2017,NL,0.0189
2018,NL,0.0231
2019,NL,0.0277
2020,NL,0.0344
2021,NL,0.0443
2016,PL,0.0151
2017,PL,0.0175
2018,PL,0.0217
2019,PL,0.026600000000000002
2020,PL,0.0326
2021,PL,0.0408
2016,AU,0.013999999999999999
2017,AU,0.0171
2018,AU,0.022000000000000002
2019,AU,0.0282
2020,AU,0.0347
2021,AU,0.042699999999999995
2016,LT,0.0139
2017,LT,0.016399999999999998
2018,LT,0.0203
2019,LT,0.025699999999999997
2020,LT,0.0315
2021,LT,0.0371
2016,NZ,0.012
2017,NZ,0.0146
2018,NZ,0.0189
2019,NZ,0.0235
2020,NZ,0.0276
2021,NZ,0.029900000000000003
2016,LV,0.011000000000000001
2017,LV,0.0134
2018,LV,0.0163
2019,LV,0.0199
2020,LV,0.024300000000000002
2021,LV,0.0273
2016,CL,0.0078000000000000005
2017,CL,0.0095
2018,CL,0.0127
2019,CL,0.0169
2020,CL,0.0226
2021,CL,0.0294
2016,MX,0.006999999999999999
2017,MX,0.0085
2018,MX,0.0105
2019,MX,0.0141
2020,MX,0.0182
2021,MX,0.0229
2016,ZA,0.0062
2017,ZA,0.0077
2018,ZA,0.01
2019,ZA,0.013999999999999999
2020,ZA,0.018600000000000002
2021,ZA,0.0225
2016,BR,0.0058
2017,BR,0.0073
2018,BR,0.0098
2019,BR,0.0131
2020,BR,0.0172
2021,BR,0.0232
2016,CO,0.005600000000000001
2017,CO,0.006999999999999999
2018,CO,0.0097
2019,CO,0.0143
2020,CO,0.0199
2021,CO,0.026000000000000002
