country_name,Value
India,3.02
United States,2.18
China,1.58
Japan,1.53
Germany,1.38
Israel,1.22
Canada,1.2
Singapore,1.16
Korea,1.13
United Kingdom,1.09
Turkey,1.09
Sweden,1.07
Industry average,1
Netherlands,0.9
Greece,0.86
Poland,0.84
France,0.81
Spain,0.72
Brazil,0.7
Australia,0.68
United Arab Emirates,0.67
Finland,0.67
Norway,0.63
Denmark,0.62
Hungary,0.62
Ireland,0.61
Italy,0.6
Switzerland,0.55
Belgium,0.52
Hong Kong (China),0.5
Austria,0.49
Portugal,0.47
South Africa,0.42
Czech Republic,0.38
Mexico,0.35
Colombia,0.33
