date,concept,Probability of appearance in a single IT job posting
2018-01-01,machine learning,0.0149972495591699
2018-02-01,machine learning,0.0147438501288958
2018-03-01,machine learning,0.0146024249641759
2018-04-01,machine learning,0.0147494451072318
2018-05-01,machine learning,0.0146823823510459
2018-06-01,machine learning,0.0140002140713714
2018-07-01,machine learning,0.0142050131562484
2018-08-01,machine learning,0.0155730618887969
2018-09-01,machine learning,0.016232411083491
2018-10-01,machine learning,0.0179183922476696
2018-11-01,machine learning,0.0176969782828572
2018-12-01,machine learning,0.0171934510372743
2019-01-01,machine learning,0.0183265251844122
2019-02-01,machine learning,0.0177822186396658
2019-03-01,machine learning,0.017640793474946
2019-04-01,machine learning,0.0174993683102262
2019-05-01,machine learning,0.017888972557808
2019-06-01,machine learning,0.0181873409857267
2019-07-01,machine learning,0.0190969362284386
2019-08-01,machine learning,0.0203826503651167
2019-09-01,machine learning,0.0215959729552875
2019-10-01,machine learning,0.0232535916605982
2019-11-01,machine learning,0.0236906047215176
2019-12-01,machine learning,0.0239069613638211
2020-01-01,machine learning,0.0235677564933478
2020-02-01,machine learning,0.0237568691670476
2020-03-01,machine learning,0.0255866283613147
2020-04-01,machine learning,0.0257038805939988
2020-05-01,machine learning,0.0252579079932203
2020-06-01,machine learning,0.0251164828285005
2020-07-01,machine learning,0.0246392636271001
2020-08-01,machine learning,0.025148805294848
2020-09-01,machine learning,0.0267938990470685
2020-10-01,machine learning,0.0277840553698203
2020-11-01,machine learning,0.0277218636541893
2020-12-01,machine learning,0.0277113279470854
2021-01-01,machine learning,0.0290528351677259
2021-02-01,machine learning,0.0293003848149487
2021-03-01,machine learning,0.0293865210577037
2021-04-01,machine learning,0.0294841779960567
2021-05-01,machine learning,0.0307456106990104
2021-06-01,machine learning,0.0310640662121309
2021-07-01,machine learning,0.0311953859872746
2021-08-01,machine learning,0.0316371490601511
2021-09-01,machine learning,0.0323041513681262
2021-10-01,machine learning,0.0333866946898786
2021-11-01,machine learning,0.0345843528048346
2021-12-01,machine learning,0.0348214321282151
2022-01-01,machine learning,0.0351919230838199
2022-02-01,machine learning,0.0354394727310427
2022-03-01,machine learning,0.0368197503242026
2022-04-01,machine learning,0.0374897821032685
2022-05-01,machine learning,0.0377373317504914
2022-06-01,machine learning,0.0390911819926215
2022-07-01,machine learning,0.0396746223517677
2022-08-01,machine learning,0.0399440172392683
2022-09-01,machine learning,0.0408681358530849
2022-10-01,machine learning,0.0401892417539467
2022-11-01,machine learning,0.0400478165892269
2018-01-01,artificial intelligence,0.0226753427307504
2018-02-01,artificial intelligence,0.0225720900794844
2018-03-01,artificial intelligence,0.022387569426076
2018-04-01,artificial intelligence,0.0222030487726676
2018-05-01,artificial intelligence,0.0220185281192592
2018-06-01,artificial intelligence,0.0219883542100692
2018-07-01,artificial intelligence,0.0217535719443597
