date,concept,Probability of appearance in a single IT job posting
2017-12-01,machine learning,0.0149972495591699
2018-01-01,machine learning,0.0147438501288958
2018-02-01,machine learning,0.0146284079312012
2018-03-01,machine learning,0.0147754280742571
2018-04-01,machine learning,0.0147083653180711
2018-05-01,machine learning,0.0140261970383966
2018-06-01,machine learning,0.0142309961232736
2018-07-01,machine learning,0.0155990448558221
2018-08-01,machine learning,0.0162583940505163
2018-09-01,machine learning,0.0179443752146949
2018-10-01,machine learning,0.0177229612498825
2018-11-01,machine learning,0.0172194340042996
2018-12-01,machine learning,0.0183525081514375
2019-01-01,machine learning,0.0178082016066911
2019-02-01,machine learning,0.0176927594089965
2019-03-01,machine learning,0.017577317211302
2019-04-01,machine learning,0.0179669214588838
2019-05-01,machine learning,0.0182652898868025
2019-06-01,machine learning,0.0191748851295143
2019-07-01,machine learning,0.0204605992661925
2019-08-01,machine learning,0.0216739218563632
2019-09-01,machine learning,0.023331540561674
2019-10-01,machine learning,0.0237685536225934
2019-11-01,machine learning,0.0239849102648969
2019-12-01,machine learning,0.0236457053944236
2020-01-01,machine learning,0.0238348180681233
2020-02-01,machine learning,0.0256645772623905
2020-03-01,machine learning,0.0257818294950745
2020-04-01,machine learning,0.0253358568942961
2020-05-01,machine learning,0.0252204146966016
2020-06-01,machine learning,0.0247431954952011
2020-07-01,machine learning,0.025252737162949
2020-08-01,machine learning,0.0268978309151695
2020-09-01,machine learning,0.0278879872379214
2020-10-01,machine learning,0.0278257955222903
2020-11-01,machine learning,0.0278152598151865
2020-12-01,machine learning,0.0293574059552304
2021-01-01,machine learning,0.0291567670358269
2021-02-01,machine learning,0.0294134895832182
2021-03-01,machine learning,0.0294996258259733
2021-04-01,machine learning,0.0295972827643263
2021-05-01,machine learning,0.0308587154672799
2021-06-01,machine learning,0.0311771709804005
2021-07-01,machine learning,0.0313084907555441
2021-08-01,machine learning,0.0317502538284207
2021-09-01,machine learning,0.0324172561363957
2021-10-01,machine learning,0.0334997994581481
2021-11-01,machine learning,0.0346974575731041
2021-12-01,machine learning,0.0349345368964847
2022-01-01,machine learning,0.0353050278520894
2022-02-01,machine learning,0.0355617503994808
2022-03-01,machine learning,0.0369420279926406
2022-04-01,machine learning,0.0376120597717066
2022-05-01,machine learning,0.0378687823190979
2022-06-01,machine learning,0.0392226325612281
2022-07-01,machine learning,0.0391875603184798
2017-12-01,artificial intelligence,0.0226753427307504
2018-01-01,artificial intelligence,0.0225720900794844
2018-02-01,artificial intelligence,0.0223995041748396
2018-03-01,artificial intelligence,0.0222269182701948
2018-04-01,artificial intelligence,0.02205433236555
2018-05-01,artificial intelligence,0.02202415845636
2018-06-01,artificial intelligence,0.0217893761906505
2018-07-01,artificial intelligence,0.0212632143769194
2018-08-01,artificial intelligence,0.0203992365939981
2018-09-01,artificial intelligence,0.0203101039481933
2018-10-01,artificial intelligence,0.0207219844120209
2018-11-01,artificial intelligence,0.0206625369737286
2018-12-01,artificial intelligence,0.0219095971458175
2019-01-01,artificial intelligence,0.0217370112411727
2019-02-01,artificial intelligence,0.0231767213453441
2019-03-01,artificial intelligence,0.0230941109853507
2019-04-01,artificial intelligence,0.0246242686559288
2019-05-01,artificial intelligence,0.025749162804324
2019-06-01,artificial intelligence,0.0253767268734568
2019-07-01,artificial intelligence,0.0259132153814699
2019-08-01,artificial intelligence,0.026087516493914
2019-09-01,artificial intelligence,0.0256162182766997
2019-10-01,artificial intelligence,0.0254191494664116
2019-11-01,artificial intelligence,0.0257046962982101
2019-12-01,artificial intelligence,0.0255616986018487
2020-01-01,artificial intelligence,0.0256624272984918
2020-02-01,artificial intelligence,0.0264205511034141
2020-03-01,artificial intelligence,0.0276293580880799
2020-04-01,artificial intelligence,0.0274110229133431
2020-05-01,artificial intelligence,0.0281704288008087
2020-06-01,artificial intelligence,0.0286895504694461
2020-07-01,artificial intelligence,0.0276685008268024
2020-08-01,artificial intelligence,0.0271898116027167
2020-09-01,artificial intelligence,0.0261430014406931
2020-10-01,artificial intelligence,0.0255925138166715
2020-11-01,artificial intelligence,0.0251413329522887
2020-12-01,artificial intelligence,0.02548530466059
2021-01-01,artificial intelligence,0.0257495064005026
2021-02-01,artificial intelligence,0.0260934781088039
2021-03-01,artificial intelligence,0.0259208922041591
2021-04-01,artificial intelligence,0.0262209558641705
2021-05-01,artificial intelligence,0.0265853398015726
2021-06-01,artificial intelligence,0.028542312506658
2021-07-01,artificial intelligence,0.0300206526076908
2021-08-01,artificial intelligence,0.0299287341614066
2021-09-01,artificial intelligence,0.0297561482567618
2021-10-01,artificial intelligence,0.0291642999176126
2021-11-01,artificial intelligence,0.0285178164164078
2021-12-01,artificial intelligence,0.0286616239137507
2022-01-01,artificial intelligence,0.0303424205240727
2022-02-01,artificial intelligence,0.0332106764725545
2022-03-01,artificial intelligence,0.0335546481808558
2022-04-01,artificial intelligence,0.0337177430512041
2022-05-01,artificial intelligence,0.0329309332275302
2022-06-01,artificial intelligence,0.0342956928145218
2022-07-01,artificial intelligence,0.034123106909877
