date,country,Probability of appearance in a single IT job posting
2017-12-01,All,0.010443906915306
2018-01-01,All,0.0106031150232171
2018-02-01,All,0.0107000348808711
2018-03-01,All,0.0106781088176916
2018-04-01,All,0.0113300513107635
2018-05-01,All,0.0118057831520516
2018-06-01,All,0.0124003018250515
2018-07-01,All,0.0128951973812367
2018-08-01,All,0.0133676677617561
2018-09-01,All,0.014005506867966
2018-10-01,All,0.0141011648779879
2018-11-01,All,0.0142112434758347
2018-12-01,All,0.0146961594664113
2019-01-01,All,0.0151783067743278
2019-02-01,All,0.0155702603391484
2019-03-01,All,0.0159295818186003
2019-04-01,All,0.0159481527403122
2019-05-01,All,0.0164340920761105
2019-06-01,All,0.0165021889042079
2019-07-01,All,0.0169768417239466
2019-08-01,All,0.0172980683643468
2019-09-01,All,0.0172196948982863
2019-10-01,All,0.0173253275834986
2019-11-01,All,0.0174582644069371
2019-12-01,All,0.0176387014142112
2020-01-01,All,0.0177724164425387
2020-02-01,All,0.0178474101707129
2020-03-01,All,0.0178403093493959
2020-04-01,All,0.0180746819797898
2020-05-01,All,0.0182820295306382
2020-06-01,All,0.0181268701422619
2020-07-01,All,0.0189503726366632
2020-08-01,All,0.019873738549838
2020-09-01,All,0.0202721946778171
2020-10-01,All,0.0203232785884788
2020-11-01,All,0.020873645009817
2020-12-01,All,0.0211549096522664
2021-01-01,All,0.0227936433599561
2021-02-01,All,0.0223404483680514
2021-03-01,All,0.02195437240501
2021-04-01,All,0.0218078095158052
2021-05-01,All,0.0222315332857774
2021-06-01,All,0.0224373792721558
2021-07-01,All,0.0228095493494326
2021-08-01,All,0.0232330191964356
2021-09-01,All,0.0223495770244508
2021-10-01,All,0.0221737556204195
2021-11-01,All,0.0203310276745935
2021-12-01,All,0.02046596454371
2022-01-01,All,0.0203859141081225
2022-02-01,All,0.0212388415469836
2022-03-01,All,0.0213737784161001
2022-04-01,All,0.0214935865423272
2022-05-01,All,0.0214996425361457
2022-06-01,All,0.0216226035911852
2022-07-01,All,0.0212887507201232
2017-12-01,USA,0.0131424505933463
2018-01-01,USA,0.0131595716522917
2018-02-01,USA,0.0134618100207652
2018-03-01,USA,0.0137848345889455
2018-04-01,USA,0.0142136848160098
2018-05-01,USA,0.0154536124100573
2018-06-01,USA,0.0165403216217561
2018-07-01,USA,0.0166991089638811
2018-08-01,USA,0.0173651918268255
2018-09-01,USA,0.01787746017654
2018-10-01,USA,0.0188196715913117
2018-11-01,USA,0.0192010916511689
2018-12-01,USA,0.0194582867331912
2019-01-01,USA,0.0207759159524468
2019-02-01,USA,0.0218155648932681
2019-03-01,USA,0.0219426325661921
2019-04-01,USA,0.0224084169077638
2019-05-01,USA,0.0236472745056317
2019-06-01,USA,0.0236121664085973
2019-07-01,USA,0.0247501966935869
2019-08-01,USA,0.0257471212378009
2019-09-01,USA,0.0256525928649785
2019-10-01,USA,0.0251164748898666
2019-11-01,USA,0.0250320791335779
2019-12-01,USA,0.0244439425097027
2020-01-01,USA,0.024005693149885
2020-02-01,USA,0.0238690877197594
2020-03-01,USA,0.0236505519164566
2020-04-01,USA,0.0239360621598471
2020-05-01,USA,0.0254570332320119
2020-06-01,USA,0.0267457450236551
2020-07-01,USA,0.0270312552670456
2020-08-01,USA,0.027316765510436
2020-09-01,USA,0.0276022757538265
2020-10-01,USA,0.0281734865794236
2020-11-01,USA,0.0288204637098846
2020-12-01,USA,0.0294329300940528
2021-01-01,USA,0.0292533977141013
2021-02-01,USA,0.0286678368926026
2021-03-01,USA,0.0298628941519954
2021-04-01,USA,0.0304624074682316
2021-05-01,USA,0.0315498423361571
2021-06-01,USA,0.0316703330619621
2021-07-01,USA,0.0319558433053526
2021-08-01,USA,0.0322413535487431
2021-09-01,USA,0.0323653030790801
2021-10-01,USA,0.0323653030790801
2021-11-01,USA,0.0323653030790801
2021-12-01,USA,0.0322707747062578
2022-01-01,USA,0.0322635969783251
2022-02-01,USA,0.0328419228468917
2022-03-01,USA,0.0327980745722674
2022-04-01,USA,0.0326313246154146
2022-05-01,USA,0.0346848456933073
2022-06-01,USA,0.0348996464827513
2022-07-01,USA,0.0347871535504198
2017-12-01,DEU,0.00332710479359881
2018-01-01,DEU,0.00372806063934073
2018-02-01,DEU,0.0036358408268782
2018-03-01,DEU,0.00370506969167281
2018-04-01,DEU,0.00397856026043919
2018-05-01,DEU,0.00415907007811467
2018-06-01,DEU,0.00430695713354421
2018-07-01,DEU,0.00464459532650744
2018-08-01,DEU,0.00476143182331823
2018-09-01,DEU,0.0049689208524011
2018-10-01,DEU,0.00494702375717821
2018-11-01,DEU,0.00542070531088084
2018-12-01,DEU,0.00611781811922377
2019-01-01,DEU,0.0064402761011984
2019-02-01,DEU,0.00641944757058207
2019-03-01,DEU,0.00678485725049679
2019-04-01,DEU,0.00715596537292718
2019-05-01,DEU,0.00728237906096189
2019-06-01,DEU,0.00738123498076887
2019-07-01,DEU,0.00811948828586879
2019-08-01,DEU,0.00834336454724985
2019-09-01,DEU,0.00861859400514686
2019-10-01,DEU,0.00873805997106943
2019-11-01,DEU,0.00878106358985336
2019-12-01,DEU,0.0089358332471971
2020-01-01,DEU,0.00999932792884534
2020-02-01,DEU,0.00992401598899116
2020-03-01,DEU,0.00955850672400691
2020-04-01,DEU,0.00948319478415272
2020-05-01,DEU,0.00913689491710563
2020-06-01,DEU,0.00930881676538864
2020-07-01,DEU,0.00903366934557431
2020-08-01,DEU,0.00920258798264677
2020-09-01,DEU,0.00942608272016256
2020-10-01,DEU,0.00933498728396039
2020-11-01,DEU,0.00981106543057009
2020-12-01,DEU,0.00986958033831453
2021-01-01,DEU,0.0098746130562878
2021-02-01,DEU,0.0106621330355205
2021-03-01,DEU,0.010836543394398
2021-04-01,DEU,0.0111444845345458
2021-05-01,DEU,0.0112957672765992
2021-06-01,DEU,0.011220455336745
2021-07-01,DEU,0.0114088653132386
2021-08-01,DEU,0.0114988426184948
2021-09-01,DEU,0.0120541739862185
2021-10-01,DEU,0.0119518249375264
2021-11-01,DEU,0.0121112924822979
2021-12-01,DEU,0.0121112924822979
2022-01-01,DEU,0.0128233651630125
2022-02-01,DEU,0.0129894446986499
2022-03-01,DEU,0.0130974563647189
2022-04-01,DEU,0.0129172876444568
2022-05-01,DEU,0.0128419757046027
2022-06-01,DEU,0.0127666637647485
2022-07-01,DEU,0.0126690611913293
2017-12-01,GBR,0.0182943519202847
2018-01-01,GBR,0.0184385420175245
2018-02-01,GBR,0.0191244103928512
2018-03-01,GBR,0.0195332162228326
2018-04-01,GBR,0.0196774063200725
2018-05-01,GBR,0.0198389161256767
2018-06-01,GBR,0.0196709349102233
2018-07-01,GBR,0.0197681706768929
2018-08-01,GBR,0.0199761335470363
2018-09-01,GBR,0.0206172886587155
2018-10-01,GBR,0.0205545376561288
2018-11-01,GBR,0.0205335723172907
2018-12-01,GBR,0.0210205350983751
2019-01-01,GBR,0.0213849220314869
2019-02-01,GBR,0.0212567723507083
2019-03-01,GBR,0.0213018749823143
2019-04-01,GBR,0.0216760374258388
2019-05-01,GBR,0.0218202275230786
2019-06-01,GBR,0.0221073319674553
2019-07-01,GBR,0.0217992408932769
2019-08-01,GBR,0.0219434309905167
2019-09-01,GBR,0.0225722823700554
2019-10-01,GBR,0.0231590851992637
2019-11-01,GBR,0.0238060374428176
2019-12-01,GBR,0.0244969647508258
2020-01-01,GBR,0.0252003466030635
2020-02-01,GBR,0.0253445367003033
2020-03-01,GBR,0.0254887267975432
2020-04-01,GBR,0.025632916894783
2020-05-01,GBR,0.0257771069920229
2020-06-01,GBR,0.0250591353418849
2020-07-01,GBR,0.0249130578073988
2020-08-01,GBR,0.0251011446101064
2020-09-01,GBR,0.0248201041787819
2020-10-01,GBR,0.0239899779935049
2020-11-01,GBR,0.0237348014990271
2020-12-01,GBR,0.0239561530115129
2021-01-01,GBR,0.0241184238477659
2021-02-01,GBR,0.0248026501810102
2021-03-01,GBR,0.0247012720572136
2021-04-01,GBR,0.0241081637216678
2021-05-01,GBR,0.0237630270011001
2021-06-01,GBR,0.0236549393559915
2021-07-01,GBR,0.0234471193234042
2021-08-01,GBR,0.0236641188747868
2021-09-01,GBR,0.0237227501240787
2021-10-01,GBR,0.0237553267404148
2021-11-01,GBR,0.0237553267404148
2021-12-01,GBR,0.0236472390953062
2022-01-01,GBR,0.0237914291925461
2022-02-01,GBR,0.023935619289786
2022-03-01,GBR,0.0243050097498344
2022-04-01,GBR,0.0249763293176599
2022-05-01,GBR,0.0247996610561915
2022-06-01,GBR,0.0246868359248368
2022-07-01,GBR,0.0245787482797282
2017-12-01,CAN,0.0149972495591699
2018-01-01,CAN,0.0147438501288958
2018-02-01,CAN,0.0146284079312012
2018-03-01,CAN,0.0147754280742571
2018-04-01,CAN,0.0147083653180711
2018-05-01,CAN,0.0140261970383966
2018-06-01,CAN,0.0142309961232736
2018-07-01,CAN,0.0155990448558221
2018-08-01,CAN,0.0162583940505163
2018-09-01,CAN,0.0179443752146949
2018-10-01,CAN,0.0177229612498825
2018-11-01,CAN,0.0172194340042996
2018-12-01,CAN,0.0183525081514375
2019-01-01,CAN,0.0178082016066911
2019-02-01,CAN,0.0176927594089965
2019-03-01,CAN,0.017577317211302
2019-04-01,CAN,0.0179669214588838
2019-05-01,CAN,0.0182652898868025
2019-06-01,CAN,0.0191748851295143
2019-07-01,CAN,0.0204605992661925
2019-08-01,CAN,0.0216739218563632
2019-09-01,CAN,0.023331540561674
2019-10-01,CAN,0.0237685536225934
2019-11-01,CAN,0.0239849102648969
2019-12-01,CAN,0.0236457053944236
2020-01-01,CAN,0.0238348180681233
2020-02-01,CAN,0.0256645772623905
2020-03-01,CAN,0.0257818294950745
2020-04-01,CAN,0.0253358568942961
2020-05-01,CAN,0.0252204146966016
2020-06-01,CAN,0.0247431954952011
2020-07-01,CAN,0.025252737162949
2020-08-01,CAN,0.0268978309151695
2020-09-01,CAN,0.0278879872379214
2020-10-01,CAN,0.0278257955222903
2020-11-01,CAN,0.0278152598151865
2020-12-01,CAN,0.0293574059552304
2021-01-01,CAN,0.0291567670358269
2021-02-01,CAN,0.0294134895832182
2021-03-01,CAN,0.0294996258259733
2021-04-01,CAN,0.0295972827643263
2021-05-01,CAN,0.0308587154672799
2021-06-01,CAN,0.0311771709804005
2021-07-01,CAN,0.0313084907555441
2021-08-01,CAN,0.0317502538284207
2021-09-01,CAN,0.0324172561363957
2021-10-01,CAN,0.0334997994581481
2021-11-01,CAN,0.0346974575731041
2021-12-01,CAN,0.0349345368964847
2022-01-01,CAN,0.0353050278520894
2022-02-01,CAN,0.0355617503994808
2022-03-01,CAN,0.0369420279926406
2022-04-01,CAN,0.0376120597717066
2022-05-01,CAN,0.0378687823190979
2022-06-01,CAN,0.0392226325612281
2022-07-01,CAN,0.0391875603184798
2017-12-01,AUT,0.00370345813563185
2018-01-01,AUT,0.00373120675411011
2018-02-01,AUT,0.00403597648281939
2018-03-01,AUT,0.00384619878901115
2018-04-01,AUT,0.00411403229704651
2018-05-01,AUT,0.00384740530162733
2018-06-01,AUT,0.00399133704757846
2018-07-01,AUT,0.00422622304283597
2018-08-01,AUT,0.00402936050523678
2018-09-01,AUT,0.00420230528243483
2018-10-01,AUT,0.00408014185516999
2018-11-01,AUT,0.00445823809975151
2018-12-01,AUT,0.00539629701697584
2019-01-01,AUT,0.00552583379239041
2019-02-01,AUT,0.00586029973057262
2019-03-01,AUT,0.00617212173421551
2019-04-01,AUT,0.00569801331358441
2019-05-01,AUT,0.00634280163625485
2019-06-01,AUT,0.00628520629145134
2019-07-01,AUT,0.00666002950566194
2019-08-01,AUT,0.00688328385172328
2019-09-01,AUT,0.00730975409230088
2019-10-01,AUT,0.00739946343087942
2019-11-01,AUT,0.00715395234295289
2019-12-01,AUT,0.00706894888149633
2020-01-01,AUT,0.00719152716857785
2020-02-01,AUT,0.00770004247662709
2020-03-01,AUT,0.00741763731338047
2020-04-01,AUT,0.00732603200217452
2020-05-01,AUT,0.00679508039317349
2020-06-01,AUT,0.0063277777232488
2020-07-01,AUT,0.00623617241204286
2020-08-01,AUT,0.005944073585518
2020-09-01,AUT,0.00592965715726194
2020-10-01,AUT,0.00638269190437852
2020-11-01,AUT,0.00696614648259009
2020-12-01,AUT,0.00755561480657595
2021-01-01,AUT,0.00767819309365746
2021-02-01,AUT,0.00731326705102405
2021-03-01,AUT,0.00731602277579643
2021-04-01,AUT,0.00743860106287795
2021-05-01,AUT,0.00734699575167201
2021-06-01,AUT,0.00725539044046606
2021-07-01,AUT,0.00805070622885471
2021-08-01,AUT,0.00756620463350232
2021-09-01,AUT,0.00745738705973673
2021-10-01,AUT,0.00767982653535067
2021-11-01,AUT,0.00747055927928996
2021-12-01,AUT,0.00722335404144548
2022-01-01,AUT,0.007345932328527
2022-02-01,AUT,0.00708603380182505
2022-03-01,AUT,0.00714418967976599
2022-04-01,AUT,0.0075544704951143
2022-05-01,AUT,0.00770290915975075
2022-06-01,AUT,0.00824432631798845
2022-07-01,AUT,0.00857395031664068
2017-12-01,AUS,0.0131268996548178
2018-01-01,AUS,0.0127791958285757
2018-02-01,AUS,0.0125444494710729
2018-03-01,AUS,0.0126106028922157
2018-04-01,AUS,0.012219172954019
2018-05-01,AUS,0.0116862686573497
2018-06-01,AUS,0.0125397875438081
2018-07-01,AUS,0.0131136471288928
2018-08-01,AUS,0.0139680954265005
2018-09-01,AUS,0.0150281472659801
2018-10-01,AUS,0.0149197440928595
2018-11-01,AUS,0.0146649354571708
2018-12-01,AUS,0.0146519108551192
2019-01-01,AUS,0.0145557209368321
2019-02-01,AUS,0.0155427394766905
2019-03-01,AUS,0.0164474985537477
2019-04-01,AUS,0.0184059353784237
2019-05-01,AUS,0.0201728292166408
2019-06-01,AUS,0.0217256558196871
2019-07-01,AUS,0.0230714627155308
2019-08-01,AUS,0.022143463386371
2019-09-01,AUS,0.021980039126936
2019-10-01,AUS,0.0219929297212809
