date,concept,Relative Demand
2017-12-01,Machine learning tools,0.3587188366569854
2018-01-01,Machine learning tools,0.3622004545840914
2018-02-01,Machine learning tools,0.3618727574377771
2018-03-01,Machine learning tools,0.3627757187621497
2018-04-01,Machine learning tools,0.3609964708511878
2018-05-01,Machine learning tools,0.36184685347926376
2018-06-01,Machine learning tools,0.36096131304935575
2018-07-01,Machine learning tools,0.36132588995637344
2018-08-01,Machine learning tools,0.3594644727380953
2018-09-01,Machine learning tools,0.3606352756550639
2018-10-01,Machine learning tools,0.3592123512387664
2018-11-01,Machine learning tools,0.35420080161405537
2018-12-01,Machine learning tools,0.3535948832824282
2019-01-01,Machine learning tools,0.3523403149607719
2019-02-01,Machine learning tools,0.3496464154109399
2019-03-01,Machine learning tools,0.35125020730468715
2019-04-01,Machine learning tools,0.3572095449161366
2019-05-01,Machine learning tools,0.3595554402204896
2019-06-01,Machine learning tools,0.36082406297873426
2019-07-01,Machine learning tools,0.3648456805648268
2019-08-01,Machine learning tools,0.37050621919883353
2019-09-01,Machine learning tools,0.37787333920963956
2019-10-01,Machine learning tools,0.3793502791110917
2019-11-01,Machine learning tools,0.3836001821968559
2019-12-01,Machine learning tools,0.38043687783506097
2020-01-01,Machine learning tools,0.382021378624144
2020-02-01,Machine learning tools,0.3843683327049794
2020-03-01,Machine learning tools,0.3830165759222318
2020-04-01,Machine learning tools,0.3807557786208004
2020-05-01,Machine learning tools,0.37850340466208804
2020-06-01,Machine learning tools,0.3804670521771147
2020-07-01,Machine learning tools,0.37896158072856717
2020-08-01,Machine learning tools,0.37774632574310635
2020-09-01,Machine learning tools,0.38048727402628096
2020-10-01,Machine learning tools,0.38248885354393874
2020-11-01,Machine learning tools,0.38324554812819195
2020-12-01,Machine learning tools,0.38275103928745463
2021-01-01,Machine learning tools,0.3911978734259766
2021-02-01,Machine learning tools,0.38826140219822247
2021-03-01,Machine learning tools,0.38574636863649575
2021-04-01,Machine learning tools,0.38177506165752995
2021-05-01,Machine learning tools,0.37831897066852005
2021-06-01,Machine learning tools,0.3752870654698368
2021-07-01,Machine learning tools,0.3717484907345704
2021-08-01,Machine learning tools,0.3704849279077648
2021-09-01,Machine learning tools,0.37074504923305185
2021-10-01,Machine learning tools,0.37013906347586806
2021-11-01,Machine learning tools,0.36993945209465356
2021-12-01,Machine learning tools,0.3709997089951139
2022-01-01,Machine learning tools,0.3716691590848425
2022-02-01,Machine learning tools,0.37070536953042793
2022-03-01,Machine learning tools,0.369983109355758
2022-04-01,Machine learning tools,0.3710327252864887
2022-05-01,Machine learning tools,0.37084346246664524
2022-06-01,Machine learning tools,0.37238503580889964
2022-07-01,Machine learning tools,0.3720742461853716
2017-12-01,AI software development,0.7655071359061929
2018-01-01,AI software development,0.7706205380612595
2018-02-01,AI software development,0.767437684019218
2018-03-01,AI software development,0.7691692661347549
2018-04-01,AI software development,0.7663620736455212
2018-05-01,AI software development,0.7673374308643552
2018-06-01,AI software development,0.7655288940571646
2018-07-01,AI software development,0.7613352135508132
2018-08-01,AI software development,0.7598976910705096
2018-09-01,AI software development,0.7586940528482546
2018-10-01,AI software development,0.7591898355499143
2018-11-01,AI software development,0.7537524148825483
2018-12-01,AI software development,0.7515355847156469
2019-01-01,AI software development,0.7419054963010997
2019-02-01,AI software development,0.7408180100975519
2019-03-01,AI software development,0.7417778838357398
2019-04-01,AI software development,0.7476900148826775
2019-05-01,AI software development,0.7475203824711961
2019-06-01,AI software development,0.7461751815839335
2019-07-01,AI software development,0.750324396682221
2019-08-01,AI software development,0.7597789727569007
2019-09-01,AI software development,0.7723505312397119
2019-10-01,AI software development,0.777491211632243
2019-11-01,AI software development,0.7799856737766562
2019-12-01,AI software development,0.774908236586232
2020-01-01,AI software development,0.7788858607521542
2020-02-01,AI software development,0.7801224718960594
2020-03-01,AI software development,0.7747997421981019
2020-04-01,AI software development,0.7694194095432683
2020-05-01,AI software development,0.7658254123552553
2020-06-01,AI software development,0.7688445729699915
2020-07-01,AI software development,0.7659877960702783
2020-08-01,AI software development,0.7652060078346523
2020-09-01,AI software development,0.771948739272461
2020-10-01,AI software development,0.7741570340113185
2020-11-01,AI software development,0.7737633000588816
2020-12-01,AI software development,0.7714961490134218
2021-01-01,AI software development,0.7803833436608246
2021-02-01,AI software development,0.7818963586980375
2021-03-01,AI software development,0.7781725693736087
2021-04-01,AI software development,0.7723682200959334
2021-05-01,AI software development,0.7661419926531414
2021-06-01,AI software development,0.762783172005478
2021-07-01,AI software development,0.7543508067723275
2021-08-01,AI software development,0.7514908295231039
2021-09-01,AI software development,0.7509226921423978
2021-10-01,AI software development,0.7456987330425957
2021-11-01,AI software development,0.7436215024216299
2021-12-01,AI software development,0.7444717787140681
2022-01-01,AI software development,0.7425949281047327
2022-02-01,AI software development,0.7378267292284545
2022-03-01,AI software development,0.7352565395760123
2022-04-01,AI software development,0.7378794257779282
2022-05-01,AI software development,0.7346935943614041
2022-06-01,AI software development,0.735018177490623
2022-07-01,AI software development,0.730372312452899
2017-12-01,AI research & methodology,0.56431327123858
2018-01-01,AI research & methodology,0.5691693915962052
2018-02-01,AI research & methodology,0.5669654725006962
2018-03-01,AI research & methodology,0.5685439751087379
2018-04-01,AI research & methodology,0.5663986809067711
2018-05-01,AI research & methodology,0.5672338545299271
2018-06-01,AI research & methodology,0.566495832290911
2018-07-01,AI research & methodology,0.5631919783031382
2018-08-01,AI research & methodology,0.5601815630881134
2018-09-01,AI research & methodology,0.5580804144547491
2018-10-01,AI research & methodology,0.5569356528732886
2018-11-01,AI research & methodology,0.552016253335118
2018-12-01,AI research & methodology,0.5500086497648424
2019-01-01,AI research & methodology,0.5451033981863104
2019-02-01,AI research & methodology,0.5423953446070828
2019-03-01,AI research & methodology,0.5454948680714273
2019-04-01,AI research & methodology,0.5501384768412216
2019-05-01,AI research & methodology,0.5507673321766186
2019-06-01,AI research & methodology,0.5498197181911161
2019-07-01,AI research & methodology,0.5536252841158523
2019-08-01,AI research & methodology,0.5609266958828234
2019-09-01,AI research & methodology,0.5688361228885375
2019-10-01,AI research & methodology,0.5715439234730383
2019-11-01,AI research & methodology,0.575335729839523
2019-12-01,AI research & methodology,0.570569175762086
2020-01-01,AI research & methodology,0.5717104896048929
2020-02-01,AI research & methodology,0.5726826949384286
2020-03-01,AI research & methodology,0.5702372661858097
2020-04-01,AI research & methodology,0.5669499927804641
2020-05-01,AI research & methodology,0.564018742712546
2020-06-01,AI research & methodology,0.5668144569061068
2020-07-01,AI research & methodology,0.5641372989264223
2020-08-01,AI research & methodology,0.5627836195608563
2020-09-01,AI research & methodology,0.5660720427619174
2020-10-01,AI research & methodology,0.5687651667399902
2020-11-01,AI research & methodology,0.5698885977013445
2020-12-01,AI research & methodology,0.5669083958708738
2021-01-01,AI research & methodology,0.5764340066644211
2021-02-01,AI research & methodology,0.5722640610913574
2021-03-01,AI research & methodology,0.5672382294884798
2021-04-01,AI research & methodology,0.5607649772912053
2021-05-01,AI research & methodology,0.5553680016745942
2021-06-01,AI research & methodology,0.5515398346985118
2021-07-01,AI research & methodology,0.5446263497890755
2021-08-01,AI research & methodology,0.5434679946829296
2021-09-01,AI research & methodology,0.5431493505640479
2021-10-01,AI research & methodology,0.541778219156362
2021-11-01,AI research & methodology,0.5412856564372593
2021-12-01,AI research & methodology,0.5422238216246215
2022-01-01,AI research & methodology,0.5405433628148899
2022-02-01,AI research & methodology,0.5374165094604987
2022-03-01,AI research & methodology,0.53591544956761
2022-04-01,AI research & methodology,0.536735934650586
2022-05-01,AI research & methodology,0.5351874654111765
2022-06-01,AI research & methodology,0.5363530330066196
2022-07-01,AI research & methodology,0.5359081918838736
2017-12-01,AI data management,0.6392446391938246
2018-01-01,AI data management,0.6438720590300394
2018-02-01,AI data management,0.6418800055748994
2018-03-01,AI data management,0.6429481964788873
2018-04-01,AI data management,0.6392207450964583
2018-05-01,AI data management,0.6397320193086521
2018-06-01,AI data management,0.638746825855258
2018-07-01,AI data management,0.635645138785564
