Country,Relative AI Skills Penetration,Number of (Unique) Occupations with AI Skills in the Country
India,3.95775,97
United States,2.20034,66
Israel,1.35208,17
Germany,1.26926,30
Canada,1.23218,26
South Korea,1.17755,8
United Kingdom,0.90894,24
France,0.8016,23
China,0.76029,13
Australia,0.7532,15
Switzerland,0.71159,13
Norway,0.6812,6
Spain,0.64349,16
South Africa,0.63949,6
Singapore,0.63829,12
Italy,0.54153,14
Sweden,0.52307,8
Netherlands,0.52145,12
Ireland,0.50705,10
Finland,0.5024,5
Hong Kong SAR,0.49006,5
Belgium,0.45572,8
New Zealand,0.43515,7
Denmark,0.40403,5
Brazil,0.37069,11
